"CPF";"Nome";"DDD";"Telefone";"Classificacao";"Divida"
"34157833244";"Tarcísio Gonçalves Corrêa";"18";"982423293";"A";""
"36672030395";"Clemilda Neves Figueiredo";"11";"906497335";"V";""
"36792171298";"Jacqueline Mendonça Barbosa";"17";"929307026";"N";""
"37243337902";"Marilena da Mota Wulff";"19";"909250604";"A";""
"37374322100";"Marcela Livramento Sales";"27";"909643837";"A";""
"38302725102";"Gustavo Trancoso Claudino";"28";"990241066";"L";""
"38614430159";"Casemiro  Paulo Cormack";"12";"458393440";"V";""
"38938939030";"Lucas Felipe Amorin Azevedo";"18";"955670478";"N";""
"38951725537";"Thamirys Morais Borner";"24";"928051651";"L";""
"40721885225";"Telmo Knupp Filho";"11";"920013264";"A";""
"41129718000";"Jhonata Gayoso Bueno";"21";"961061647";"V";""
"42450854525";"Júlio Luiz Fausto Fernandes";"11";"360021983";"L";""
"45484376300";"Grecy Sales Alfradique";"11";"949096195";"L";""
"46553599270";"Marineuza Alentejo Trindade";"28";"957564167";"L";""
"48224841901";"Lucimberto Valansuela de Barros";"27";"915960939";"A";""
"50966307224";"Sandro Carminatti Cosme";"24";"993113603";"A";""
"51102801186";"Salvador Carino Loureiro";"21";"954059922";"L";""
"51315615312";"Gabriela Vidal Nespoli";"18";"965403145";"L";""
"52956662392";"Júlio Hall Guzzo";"28";"908499372";"L";""
"53318861324";"Sonia Fonseca Aguiar";"22";"998783367";"L";""
"53652498950";"Vanda Peixoto Quindeler";"27";"976603075";"A";""
"54444444703";"Marcy Cavalcante Paiva";"24";"965016289";"L";""
"55181808883";"Rogério Simoes Sena";"17";"901373253";"L";""
"55562168197";"Eliana Serra Cormack";"28";"907716732";"L";""
"58298353803";"Rosali Albergaria Sarmento";"15";"926243807";"L";""
"58541276368";"Andrey Pena Pimenta";"28";"951206340";"A";""
"59004304991";"Amanda Lopes Neto";"21";"931167881";"A";""
"59976480288";"Heládio Consendey Teodoro";"22";"913832759";"V";""
"60586833196";"Higor Costa Sousa";"19";"962244509";"L";""
"60897619315";"Sandreli Serravalle Borner";"24";"999832297";"L";""
"62292508370";"Angela Alfradique Frossard";"21";"976937133";"L";""
"62805238451";"Francisca Geraldo Valente";"17";"974304474";"L";""
"63721743598";"Valentim Nespoli Figueiras";"28";"943177423";"L";""
"63739734418";"Zacarias Stutz Portugal";"19";"919719168";"L";""
"64144458946";"Nelson Mendonça Baesso";"28";"981139932";"A";""
"65297312531";"Casemiro  Palmas Billé";"22";"999427645";"L";""
"66552658001";"Jayne Leite Temperini";"21";"936222787";"L";""
"67164673276";"Marilene Corrêa Linhares";"21";"940270580";"L";""
"67234971122";"Roberto Muchão Carvel";"11";"950209996";"N";""
"67352687505";"Tatiana da Mota Soriano";"21";"984646661";"V";""
"68772553219";"Wellington Barboza Marcello";"27";"961256435";"L";""
"68781251386";"Iára Figueiro Chaves";"11";"960514681";"V";""
"69811260281";"Fabricio Bilé Carvalho";"22";"948959703";"A";""
"72347968351";"Bryan Laporte Knupp";"21";"987748609";"L";""
"72869674287";"Marilena Cristo Monnerat";"14";"983594857";"A";""
"75365447409";"Kamila Castro Quintanilha";"12";"910017650";"L";""
"75511823490";"Flavia Valle Fernando";"27";"904112717";"L";""
"76417799484";"Clemilda Teodoro Vasconcelos";"28";"950167537";"A";""
"77478527388";"Rosimere Mello Alfradique";"22";"916591079";"A";""
"78203315267";"Andrey Aguiar Alves";"17";"991153821";"A";""
"78507479502";"Raquel Barroso de Oliveira";"27";"901495731";"L";""
"78893484870";"Manuella Coelho Carmoriz";"21";"968379830";"L";""
"82495888194";"Paulo Pontes Barrada";"19";"904056251";"V";""
"82559918404";"Maria Cristina Garcia Vargas";"12";"336841205";"L";""
"82743633107";"Marineuza de Sá Pereira";"27";"987259796";"L";""
"83375758162";"Roseli Vogas Limeira";"11";"959375153";"A";""
"84376191574";"Wallace de Jesus Carino";"21";"980083758";"L";""
"84376746703";"Renalva Figueiro da Silva";"18";"903671810";"L";""
"84823241282";"Raul Vitorino Antunes";"11";"321840034";"A";""
"84872296702";"Dayvid Cretella Giacomini";"19";"927940075";"N";""
"87385201253";"Pietir Correia Augusto";"24";"996830851";"N";""
"87444785422";"Andressa Corrêa Cavalcanti";"15";"983872011";"V";""
"87488541154";"Simone Inácio Azevedo";"15";"926087052";"A";""
"87599441298";"Lurdes Monteiro Bandeira";"18";"966305361";"L";""
"89650491643";"Nicholye Faria Salles";"18";"904870337";"L";""
"91139472577";"Alessandro Augusto Vargas";"19";"966882590";"L";""
"93227565005";"Margareth Sampaio Cruz";"17";"955388502";"N";""
"95542572529";"Nelson Albergaria Quindeler";"21";"975886916";"L";""
